# PX4 Flight Data Log
# Test started: 2025-12-23 17:27:33
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0340, 3.0340, 0.0002, 0.771361, 0.121361, 0.000000, -0.000000, 0.000412, -0.03, -0.02, 96.08, -0.05
0.021, TAKEOFF, -0.0330, 3.0330, 0.0005, 0.771318, 0.121318, 0.000000, -0.000000, 0.063816, -0.03, -0.02, 96.08, -0.04
0.041, TAKEOFF, -0.0318, 3.0318, 0.0009, 0.771273, 0.121273, 0.000000, -0.000000, 0.126170, -0.02, -0.02, 96.08, 0.00
0.062, TAKEOFF, -0.0306, 3.0306, 0.0016, 0.771222, 0.121222, 0.000000, -0.000000, 0.150000, -0.02, -0.02, 96.08, -0.02
0.083, TAKEOFF, -0.0292, 3.0292, 0.0020, 0.771169, 0.121169, 0.000000, -0.000000, 0.150000, -0.02, -0.02, 96.07, 0.00
0.103, TAKEOFF, -0.0276, 3.0276, 0.0025, 0.771104, 0.121104, 0.000000, -0.000000, 0.150000, -0.02, -0.02, 96.07, 0.03
0.294, TAKEOFF, -0.0255, 3.0255, 0.0030, 0.771021, 0.121021, 0.000000, -0.000000, 0.150000, -0.02, -0.01, 96.07, 0.02
0.625, TAKEOFF, -0.0236, 3.0236, 0.0038, 0.770944, 0.120944, 0.000000, -0.000000, 0.150000, -0.02, -0.01, 96.07, 0.04
0.952, TAKEOFF, -0.0234, 3.0234, 0.0180, 0.770938, 0.120938, 0.000000, -0.000000, 0.150000, -0.01, -0.03, 96.08, 0.01
1.230, TAKEOFF, -0.0207, 3.0207, 0.0849, 0.770829, 0.120829, 0.000000, -0.000000, 0.150000, -0.01, -0.03, 96.08, 0.02
1.417, TAKEOFF, -0.0139, 3.0139, 0.1455, 0.770556, 0.120556, 0.000000, -0.000000, 0.150000, -0.01, -0.03, 96.08, 0.01
1.730, TAKEOFF, -0.0023, 3.0023, 0.2065, 0.770092, 0.120092, 0.000000, -0.000000, 0.150000, -0.01, -0.03, 96.08, -0.02
2.057, TAKEOFF, 0.0163, 2.9837, 0.2756, 0.769348, 0.119348, 0.000000, -0.000000, 0.150000, -0.00, -0.02, 96.08, 0.03
2.312, TAKEOFF, 0.0375, 2.9625, 0.3367, 0.768502, 0.118502, 0.000000, -0.000000, 0.150000, -0.00, -0.02, 96.08, 0.05
2.604, TAKEOFF, 0.4103, 2.5897, 0.8846, 0.753589, 0.103589, 0.000000, -0.000000, 0.150000, -0.01, 0.01, 96.08, -0.03
2.781, TAKEOFF, 0.4731, 2.5269, 0.9466, 0.751075, 0.101075, 0.000000, -0.000000, 0.150000, -0.00, 0.01, 96.08, 0.03
3.065, TAKEOFF, 0.9594, 2.0406, 1.3336, 0.731623, 0.081623, 0.000000, -0.000000, 0.150000, -0.00, -0.01, 96.09, -0.03
3.376, TAKEOFF, 1.0631, 1.9369, 1.4029, 0.727478, 0.077478, 0.000000, -0.000000, 0.150000, 0.00, -0.01, 96.09, 0.03
3.675, TAKEOFF, 2.0336, 0.9664, 1.9375, 0.688654, 0.038654, 0.000000, -0.000000, 0.150000, 0.02, -0.00, 95.99, 0.01
3.977, TAKEOFF, 2.1797, 0.8203, 2.0050, 0.682814, 0.032814, 0.000000, -0.000000, 0.150000, 0.02, 0.00, 95.99, -0.02
4.290, TAKEOFF, 3.2344, -0.2344, 2.4297, 0.640623, -0.009377, 0.000000, -0.000000, 0.076817, 0.03, 0.02, 95.99, -0.03
4.577, TAKEOFF, 3.3947, -0.3947, 2.4775, 0.634210, -0.015790, -0.000000, -0.000000, -0.036410, 0.02, 0.02, 95.99, 0.05
4.854, TAKEOFF, 4.4432, -1.4432, 2.6913, 0.592271, -0.057729, -0.000000, -0.000000, -0.150000, 0.01, -0.00, 95.99, 0.02
5.132, TAKEOFF, 4.6394, -1.6394, 2.7101, 0.584422, -0.065578, -0.000000, -0.000000, -0.150000, 0.01, 0.00, 95.99, 0.03
5.409, TAKEOFF, 6.0736, -3.0736, 2.7217, 0.527057, -0.122943, -0.000000, -0.000000, -0.150000, -0.01, 0.01, 95.98, 0.01
5.700, TAKEOFF, 6.2666, -3.2666, 2.6913, 0.519337, -0.130663, -0.000000, -0.000000, -0.150000, -0.01, 0.00, 95.98, -0.00
5.977, TAKEOFF, 7.6171, -4.6171, 2.1620, 0.465316, -0.184684, -0.000000, -0.000000, -0.150000, -0.01, -0.01, 95.98, -0.04
6.261, TAKEOFF, 7.7472, -4.7472, 2.0562, 0.460113, -0.189887, -0.000000, -0.000000, -0.150000, -0.01, -0.01, 95.98, 0.03
6.547, TAKEOFF, 8.4802, -5.4802, 1.1035, 0.430793, -0.219207, -0.000000, -0.000000, -0.150000, -0.00, -0.01, 95.98, -0.00
6.861, TAKEOFF, 8.5438, -5.5438, 0.9165, 0.428248, -0.221752, -0.000000, -0.000000, -0.150000, -0.00, -0.01, 95.98, -0.01
7.162, TAKEOFF, 8.5700, -5.5700, -0.5134, 0.427199, -0.222801, -0.000000, 0.000000, -0.150000, 0.01, -0.00, 95.98, 0.01
7.463, TAKEOFF, 8.5094, -5.5094, -0.7879, 0.429625, -0.220375, -0.000000, 0.000000, -0.150000, 0.01, -0.01, 95.98, -0.05
7.765, TAKEOFF, 7.5074, -4.5074, -2.8020, 0.469705, -0.180295, -0.000000, 0.000000, -0.150000, 0.01, -0.01, 95.99, -0.00
8.087, TAKEOFF, 7.3007, -4.3007, -3.1134, 0.477973, -0.172027, -0.000000, 0.000000, -0.150000, 0.01, -0.01, 95.99, 0.02
8.396, TAKEOFF, 4.9403, -1.9403, -5.6554, 0.572388, -0.077612, -0.000000, 0.000000, -0.150000, -0.02, 0.01, 95.99, 0.05
8.667, TAKEOFF, 4.5470, -1.5470, -6.0046, 0.588120, -0.061880, -0.000000, 0.000000, -0.150000, -0.02, 0.01, 95.99, -0.01
8.945, TAKEOFF, 2.9320, 0.0680, -7.2842, 0.652719, 0.002719, -0.000000, 0.000000, -0.131143, -0.02, -0.00, 95.99, 0.04
9.228, TAKEOFF, 2.3699, 0.6301, -7.6831, 0.675203, 0.025203, 0.000000, 0.000000, 0.047580, -0.03, -0.00, 95.99, -0.05
9.516, TAKEOFF, -0.7280, 3.7280, -0.2450, 0.799120, 0.149120, 0.000000, 0.000000, 0.150000, -0.03, -0.03, 95.99, -0.01
9.794, TAKEOFF, -0.7430, 3.7430, -0.2456, 0.799720, 0.149720, 0.000000, 0.000000, 0.150000, -0.03, -0.03, 95.99, -0.00
10.076, TAKEOFF, -0.7401, 3.7401, -0.2111, 0.799603, 0.149603, 0.000000, 0.000000, 0.150000, -0.02, -0.01, 96.00, 0.01
10.361, TAKEOFF, -0.7321, 3.7321, -0.2055, 0.799285, 0.149285, 0.000000, 0.000000, 0.150000, -0.01, -0.01, 96.00, 0.02
10.661, TAKEOFF, -0.6182, 3.6182, -0.1408, 0.794729, 0.144729, 0.000000, 0.000000, 0.150000, 0.01, -0.02, 96.03, 0.02
10.943, TAKEOFF, -0.6093, 3.6093, -0.1366, 0.794373, 0.144373, 0.000000, 0.000000, 0.150000, 0.01, -0.02, 96.03, 0.02
11.227, TAKEOFF, -0.5766, 3.5766, -0.1210, 0.793064, 0.143064, 0.000000, 0.000000, 0.150000, 0.01, -0.01, 96.02, 0.03
11.511, TAKEOFF, -0.5659, 3.5659, -0.1161, 0.792635, 0.142635, 0.000000, 0.000000, 0.150000, 0.01, 0.02, 96.01, 0.04
11.812, TAKEOFF, -0.1621, 3.1621, 0.8672, 0.776484, 0.126484, 0.000000, -0.000000, 0.150000, 0.02, 0.02, 96.01, 0.00
12.125, TAKEOFF, -0.0860, 3.0860, 0.9752, 0.773440, 0.123440, 0.000000, -0.000000, 0.150000, 0.02, 0.02, 96.01, -0.01
12.413, TAKEOFF, 0.1946, 2.8054, 1.3123, 0.762215, 0.112215, 0.000000, -0.000000, 0.150000, 0.02, 0.03, 96.01, -0.06
12.701, TAKEOFF, 0.2984, 2.7016, 1.4195, 0.758066, 0.108066, 0.000000, -0.000000, 0.150000, 0.02, 0.03, 96.01, -0.00
12.995, TAKEOFF, 1.3453, 1.6547, 2.2332, 0.716189, 0.066189, 0.000000, -0.000000, 0.150000, 0.00, 0.03, 96.03, -0.03
13.299, TAKEOFF, 1.5062, 1.4938, 2.3325, 0.709750, 0.059750, 0.000000, -0.000000, 0.150000, 0.00, 0.03, 96.03, 0.01
13.594, TAKEOFF, 2.9831, 0.0169, 3.1003, 0.650678, 0.000678, 0.000000, -0.000000, 0.150000, 0.00, 0.02, 96.03, 0.01
13.894, TAKEOFF, 3.1967, -0.1967, 3.1965, 0.642134, -0.007866, 0.000000, -0.000000, 0.091024, 0.00, 0.02, 96.04, 0.03
14.192, TAKEOFF, 6.4262, -3.4262, 4.1963, 0.512951, -0.137049, -0.000000, -0.000000, -0.150000, -0.01, 0.01, 96.09, 0.04
14.506, TAKEOFF, 6.7034, -3.7034, 4.2507, 0.501862, -0.148138, -0.000000, -0.000000, -0.150000, -0.02, 0.01, 96.09, -0.01
14.802, TAKEOFF, 8.9841, -5.9841, 4.6122, 0.410637, -0.239363, -0.000000, -0.000000, -0.150000, -0.01, 0.00, 96.10, 0.00
15.096, TAKEOFF, 9.2844, -6.2844, 4.6239, 0.398624, -0.251376, -0.000000, -0.000000, -0.150000, -0.01, 0.00, 96.10, -0.01
15.395, TAKEOFF, 11.7341, -8.7341, 4.4453, 0.300636, -0.349364, -0.000000, -0.000000, -0.150000, -0.00, 0.01, 96.09, 0.03
15.714, TAKEOFF, 12.0160, -9.0160, 4.3727, 0.300000, -0.360640, -0.000000, -0.000000, -0.150000, -0.00, 0.01, 96.09, 0.03
16.017, TAKEOFF, 14.0858, -11.0858, 3.4439, 0.300000, -0.443433, -0.000000, -0.000000, -0.150000, -0.00, -0.00, 96.10, 0.06
16.317, TAKEOFF, 14.2937, -11.2937, 3.2290, 0.300000, -0.451748, -0.000000, -0.000000, -0.150000, -0.01, -0.01, 96.10, 0.02
16.618, TAKEOFF, 15.3156, -12.3156, 0.9312, 0.300000, -0.492624, -0.000000, -0.000000, -0.150000, -0.00, 0.00, 96.10, 0.00
16.930, TAKEOFF, 15.3486, -12.3486, 0.6014, 0.300000, -0.493945, -0.000000, -0.000000, -0.150000, -0.01, -0.00, 96.10, -0.00
17.230, TAKEOFF, 14.6646, -11.6646, -2.5574, 0.300000, -0.466586, -0.000000, 0.000000, -0.150000, -0.01, -0.01, 96.10, -0.01
17.424, TAKEOFF, 14.4650, -11.4650, -2.9926, 0.300000, -0.458600, -0.000000, 0.000000, -0.150000, -0.00, -0.01, 96.10, -0.06
17.726, TAKEOFF, 11.3797, -8.3797, -7.1068, 0.314810, -0.335190, -0.000000, 0.000000, -0.150000, 0.00, 0.03, 96.09, 0.01
18.046, TAKEOFF, 10.8837, -7.8837, -7.5712, 0.334651, -0.315349, -0.000000, 0.000000, -0.150000, 0.00, 0.03, 96.09, 0.02
18.346, TAKEOFF, 5.5640, -2.5640, -11.4566, 0.547442, -0.102558, -0.000000, 0.000000, -0.150000, 0.02, 0.00, 96.09, -0.01
18.646, TAKEOFF, 4.7905, -1.7905, -11.9199, 0.578378, -0.071622, -0.000000, 0.000000, -0.150000, 0.02, -0.00, 96.09, 0.00
18.946, TAKEOFF, -1.2167, 4.2167, -0.3754, 0.818667, 0.168667, 0.000000, 0.000000, 0.150000, 0.00, -0.01, 96.09, 0.06
19.262, TAKEOFF, -1.2534, 4.2534, -0.3806, 0.820135, 0.170135, 0.000000, 0.000000, 0.150000, 0.01, -0.01, 96.09, -0.02
19.563, TAKEOFF, -1.3116, 4.3116, -0.3550, 0.822462, 0.172462, 0.000000, 0.000000, 0.150000, 0.01, -0.01, 96.10, -0.04
